id,source,related,gui,os,duplicate,prereq_tutorial,links,comments
101,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-mysql-backups-with-percona-xtrabackup-on-ubuntu-16-04,
102,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-use-the-openresty-web-framework-for-nginx-on-ubuntu-16-04,
103,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-host-multiple-web-sites-with-nginx-and-haproxy-using-lxd-on-ubuntu-16-04,
104,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-bro-on-ubuntu-16-04,
105,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-use-nginx-s-map-module-on-ubuntu-16-04,
107,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/controlling-urls-and-links-in-jekyll,
108,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-shiny-server-on-ubuntu-16-04,
110,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-configure-redis-replication-on-ubuntu-16-04,
111,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-monitor-system-metrics-with-the-tick-stack-on-ubuntu-16-04,
112,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-set-up-a-jekyll-development-site-on-ubuntu-16-04,
113,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-monitor-your-system-security-with-osquery-on-ubuntu-16-04,
114,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-secure-postgresql-against-automated-attacks,
115,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-centralize-your-docker-logs-with-fluentd-and-elasticsearch-on-ubuntu-16-04,
116,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-perform-security-audits-with-lynis-on-ubuntu-16-04,
117,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-block-advertisements-at-the-dns-level-using-pi-hole-and-openvpn-on-ubuntu-16-04,
118,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-configure-a-freeipa-client-on-ubuntu-16-04,
120,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-a-galera-cluster-with-mysql-5-6-on-ubuntu-16-04,
121,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-an-intranet-with-openvpn-on-ubuntu-16-04,
122,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-r-packages-using-devtools-on-ubuntu-16-04,
123,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-let-s-encrypt-certificates-for-multiple-apache-virtual-hosts-on-ubuntu-16-04,
124,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-deploy-a-node-js-and-mongodb-application-with-rancher-on-ubuntu-16-04,
126,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-an-object-storage-server-using-minio-on-ubuntu-16-04,
127,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-matrix-synapse-on-ubuntu-16-04,
131,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-monitor-hosts-and-services-with-icinga-on-ubuntu-16-04,
132,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-host-a-website-with-caddy-on-ubuntu-16-04,
134,do,y,n,centos,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-the-linux-firewall-for-docker-swarm-on-centos-7,
135,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-a-remote-database-to-optimize-site-performance-with-mysql-on-ubuntu-16-04,
136,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-and-configure-sphinx-on-ubuntu-16-04,
137,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-the-linux-firewall-for-docker-swarm-on-ubuntu-16-04,
138,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-and-configure-ghost-on-ubuntu-16-04,
139,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-increase-pagespeed-score-by-changing-your-nginx-configuration-on-ubuntu-16-04,
140,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-a-samba-share-for-a-small-organization-on-ubuntu-16-04,
141,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-jenkins-with-ssl-using-an-nginx-reverse-proxy,
142,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-use-postgresql-with-your-django-application-on-ubuntu-16-04,
143,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-ruby-and-set-up-a-local-programming-environment-on-ubuntu-16-04,
144,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-a-kubernetes-cluster-using-kubeadm-on-ubuntu-16-04,
145,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-moodle-on-ubuntu-16-04,
146,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-django-models,
147,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-puppet-4-on-ubuntu-16-04,
149,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-set-up-vsftpd-for-anonymous-downloads-on-ubuntu-16-04,
150,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-deploy-a-php-application-with-kubernetes-on-ubuntu-16-04,
